,DataSet,ID,Chamber,ClimateTreatment,WaterStatus,Variety,Ploidy,Month,Tiller,BiomassGrowthRate,HeightGrowthRate,Left-Right,Inner-Outer
1,CF,1,Chamber 1,Treatment,Not Waterlog,Carraig,Tetraploid,May,4,0.00104651,0.310810811,1,1
2,CF,2,Chamber 1,Treatment,Not Waterlog,Abergain,Tetraploid,May,1,2.33E-05,0.202702703,1,1
3,CF,3,Chamber 1,Treatment,Not Waterlog,Dunluce,Tetraploid,May,1,2.33E-05,0.175675676,1,1
4,CF,4,Chamber 1,Treatment,Not Waterlog,Abergain,Tetraploid,May,1,2.33E-05,0.17027027,1,1
5,CF,5,Chamber 1,Treatment,Waterlog,Abergain,Tetraploid,May,0,2.33E-05,0.081081081,1,1
6,CF,6,Chamber 1,Treatment,Waterlog,Aberchoice,Diploid,May,1,2.33E-05,0.202702703,1,1
7,CF,7,Chamber 1,Treatment,Waterlog,Abergain,Tetraploid,May,1,0.00018605,0.175675676,1,1
8,CF,8,Chamber 1,Treatment,Waterlog,Abergain,Tetraploid,May,0,2.33E-05,0.162162162,1,1
9,CF,9,Chamber 1,Treatment,Not Waterlog,Aberchoice,Diploid,May,4,0.00151163,0.445945946,2,1
10,CF,10,Chamber 1,Treatment,Not Waterlog,Carraig,Tetraploid,May,1,0.00046512,0.243243243,2,2
11,CF,11,Chamber 1,Treatment,Waterlog,Dunluce,Tetraploid,May,0,0,0.148648649,2,2
12,CF,12,Chamber 1,Treatment,Not Waterlog,Aberchoice,Diploid,May,1,0.00023256,0.243243243,2,2
13,CF,13,Chamber 1,Treatment,Waterlog,Aberchoice,Diploid,May,4,0.00167442,0.554054054,2,2
14,CF,14,Chamber 1,Treatment,Waterlog,Dunluce,Tetraploid,May,0,2.33E-05,0.094594595,2,2
15,CF,15,Chamber 1,Treatment,Not Waterlog,Abergain,Tetraploid,May,1,2.33E-05,0.121621622,2,2
16,CF,16,Chamber 1,Treatment,Waterlog,Aberchoice,Diploid,May,2,0.00116279,0.351351351,2,2
17,CF,17,Chamber 1,Treatment,Not Waterlog,Carraig,Tetraploid,May,1,0.00037209,0.256756757,3,1
18,CF,18,Chamber 1,Treatment,Waterlog,Carraig,Tetraploid,May,2,0.00034884,0.22972973,3,2
19,CF,19,Chamber 1,Treatment,Not Waterlog,Dunluce,Tetraploid,May,1,0.00060465,0.283783784,3,3
20,CF,20,Chamber 1,Treatment,Not Waterlog,Dunluce,Tetraploid,May,4,0.00169767,0.378378378,3,3
21,CF,21,Chamber 1,Treatment,Waterlog,Carraig,Tetraploid,May,6,0.00365116,0.594594595,3,3
22,CF,22,Chamber 1,Treatment,Waterlog,Carraig,Tetraploid,May,4,0.00244186,0.445945946,3,3
23,CF,23,Chamber 1,Treatment,Waterlog,Abergain,Tetraploid,May,4,0.00255814,0.391891892,3,3
24,CF,24,Chamber 1,Treatment,Not Waterlog,Aberchoice,Diploid,May,3,0.00176744,0.486486486,3,3
25,CF,25,Chamber 1,Treatment,Not Waterlog,Dunluce,Tetraploid,May,0,0,0.094594595,4,1
26,CF,26,Chamber 1,Treatment,Waterlog,Dunluce,Tetraploid,May,1,2.33E-05,0.148648649,4,2
27,CF,27,Chamber 1,Treatment,Waterlog,Carraig,Tetraploid,May,9,0.00567442,0.554054054,4,3
28,CF,28,Chamber 1,Treatment,Waterlog,Carraig,Tetraploid,May,2,0.00113953,0.445945946,4,4
29,CF,29,Chamber 1,Treatment,Waterlog,Dunluce,Tetraploid,May,1,0.00030233,0.216216216,4,4
30,CF,30,Chamber 1,Treatment,Not Waterlog,Aberchoice,Diploid,May,2,0.00069767,0.324324324,4,4
31,CF,31,Chamber 1,Treatment,Not Waterlog,Abergain,Tetraploid,May,2,0.0007907,0.324324324,4,4
32,CF,32,Chamber 1,Treatment,Waterlog,Aberchoice,Diploid,May,1,2.33E-05,0.175675676,4,4
33,CF,33,Chamber 1,Treatment,Waterlog,Carraig,Tetraploid,May,1,0.00027907,0.283783784,5,1
34,CF,34,Chamber 1,Treatment,Not Waterlog,Aberchoice,Diploid,May,2,0.00067442,0.310810811,5,2
35,CF,35,Chamber 1,Treatment,Not Waterlog,Aberchoice,Diploid,May,4,0.00234884,0.5,5,3
36,CF,36,Chamber 1,Treatment,Not Waterlog,Dunluce,Tetraploid,May,0,2.33E-05,0.081081081,5,4
37,CF,37,Chamber 1,Treatment,Waterlog,Aberchoice,Diploid,May,2,0.0004186,0.324324324,6,1
38,CF,38,Chamber 1,Treatment,Not Waterlog,Abergain,Tetraploid,May,2,0.00051163,0.256756757,6,2
39,CF,39,Chamber 1,Treatment,Waterlog,Dunluce,Tetraploid,May,3,0.00125581,0.186486486,6,3
40,CF,40,Chamber 1,Treatment,Not Waterlog,Aberchoice,Diploid,May,2,2.33E-05,0.243243243,6,4
41,CF,41,Chamber 1,Treatment,Not Waterlog,Carraig,Tetraploid,May,2,0.00053488,0.22972973,7,1
42,CF,42,Chamber 1,Treatment,Waterlog,Aberchoice,Diploid,May,2,0.0004186,0.297297297,7,2
43,CF,43,Chamber 1,Treatment,Waterlog,Abergain,Tetraploid,May,3,0.00125581,0.324324324,7,3
44,CF,44,Chamber 1,Treatment,Not Waterlog,Abergain,Tetraploid,May,1,0.00048837,0.243243243,7,4
45,CF,45,Chamber 1,Treatment,Not Waterlog,Aberchoice,Diploid,May,1,0.00023256,0.162162162,8,1
46,CF,46,Chamber 1,Treatment,Not Waterlog,Carraig,Tetraploid,May,2,0.00081395,0.310810811,8,2
47,CF,47,Chamber 1,Treatment,Waterlog,Abergain,Tetraploid,May,1,0.00048837,0.22972973,8,3
48,CF,48,Chamber 1,Treatment,Not Waterlog,Carraig,Tetraploid,May,1,0.0002093,0.283783784,8,4
49,CF,49,Chamber 1,Treatment,Not Waterlog,Dunluce,Tetraploid,May,1,2.33E-05,0.202702703,9,1
50,CF,50,Chamber 1,Treatment,Not Waterlog,Abergain,Tetraploid,May,1,2.33E-05,0.054054054,9,2
51,CF,51,Chamber 1,Treatment,Waterlog,Carraig,Tetraploid,May,3,0.0005814,0.310810811,9,3
52,CF,52,Chamber 1,Treatment,Waterlog,Dunluce,Tetraploid,May,1,0.00025581,0.175675676,9,4
53,CF,53,Chamber 1,Treatment,Waterlog,Aberchoice,Diploid,May,4,0.00183721,0.418918919,9,4
54,CF,54,Chamber 1,Treatment,Waterlog,Carraig,Tetraploid,May,2,0.00151163,0.364864865,9,4
55,CF,55,Chamber 1,Treatment,Waterlog,Dunluce,Tetraploid,May,1,2.33E-05,0.121621622,9,4
56,CF,56,Chamber 1,Treatment,Not Waterlog,Aberchoice,Diploid,May,7,0.00351163,0.554054054,9,4
57,CF,57,Chamber 1,Treatment,Not Waterlog,Abergain,Tetraploid,May,1,2.33E-05,0.121621622,10,1
58,CF,58,Chamber 1,Treatment,Waterlog,Dunluce,Tetraploid,May,3,0.00132558,0.378378378,10,2
59,CF,59,Chamber 1,Treatment,Waterlog,Abergain,Tetraploid,May,2,0.00032558,0.202702703,10,3
60,CF,60,Chamber 1,Treatment,Waterlog,Carraig,Tetraploid,May,2,0.00065116,0.324324324,10,3
61,CF,61,Chamber 1,Treatment,Waterlog,Dunluce,Tetraploid,May,0,2.33E-05,0.094594595,10,3
62,CF,62,Chamber 1,Treatment,Not Waterlog,Dunluce,Tetraploid,May,1,0.00027907,0.22972973,10,3
